n,p,E,Algorithm,Edges,Weight,Number of Solutions Tested,Execution Time,Number of Basic Operations,Relative Error,Accuracy Ratio
4,0.125,4,Exhaustive Search,"[(2, 3)]",10,15,0.0007894039154052734,15,NA,NA
4,0.125,4,Minimum Weight Greedy Heuristics,"[(2, 4), (1, 3)]",18,2,0.0001049041748046875,2,0.8,1.8
4,0.125,4,Maximum Connection Greedy Heuristics,"[(2, 3)]",10,1,0.00015425682067871094,1,0.0,1.0
4,0.125,4,Chaurasia Greedy Heuristics,"[(2, 3)]",10,1,0.00016117095947265625,1,0.0,1.0
4,0.25,6,Exhaustive Search,"[(1, 4), (2, 4)]",16,63,0.002684354782104492,63,NA,NA
4,0.25,6,Minimum Weight Greedy Heuristics,"[(1, 4), (2, 4)]",16,2,0.00010323524475097656,2,0.0,1.0
4,0.25,6,Maximum Connection Greedy Heuristics,"[(1, 4), (2, 3)]",18,2,0.00020956993103027344,2,0.125,1.125
4,0.25,6,Chaurasia Greedy Heuristics,"[(1, 4), (2, 3)]",18,2,0.0002281665802001953,2,0.125,1.125
4,0.5,6,Exhaustive Search,"[(1, 4), (2, 4)]",16,63,0.0025658607482910156,63,NA,NA
4,0.5,6,Minimum Weight Greedy Heuristics,"[(1, 4), (2, 4)]",16,2,9.775161743164062e-05,2,0.0,1.0
4,0.5,6,Maximum Connection Greedy Heuristics,"[(1, 4), (2, 3)]",18,2,0.00021505355834960938,2,0.125,1.125
4,0.5,6,Chaurasia Greedy Heuristics,"[(1, 4), (2, 3)]",18,2,0.00020432472229003906,2,0.125,1.125
4,0.75,6,Exhaustive Search,"[(1, 4), (2, 4)]",16,63,0.002760648727416992,63,NA,NA
4,0.75,6,Minimum Weight Greedy Heuristics,"[(1, 4), (2, 4)]",16,2,0.00011515617370605469,2,0.0,1.0
4,0.75,6,Maximum Connection Greedy Heuristics,"[(1, 4), (2, 3)]",18,2,0.00021409988403320312,2,0.125,1.125
4,0.75,6,Chaurasia Greedy Heuristics,"[(1, 4), (2, 3)]",18,2,0.00021338462829589844,2,0.125,1.125
5,0.125,4,Exhaustive Search,"[(3, 5)]",10,15,0.0006000995635986328,15,NA,NA
5,0.125,4,Minimum Weight Greedy Heuristics,"[(3, 5)]",10,1,7.200241088867188e-05,1,0.0,1.0
5,0.125,4,Maximum Connection Greedy Heuristics,"[(3, 5)]",10,1,0.00014781951904296875,1,0.0,1.0
5,0.125,4,Chaurasia Greedy Heuristics,"[(3, 5)]",10,1,0.00015115737915039062,1,0.0,1.0
5,0.25,6,Exhaustive Search,"[(1, 4), (3, 5)]",13,63,0.0032181739807128906,63,NA,NA
5,0.25,6,Minimum Weight Greedy Heuristics,"[(1, 4), (3, 5)]",13,2,0.00010514259338378906,2,0.0,1.0
5,0.25,6,Maximum Connection Greedy Heuristics,"[(1, 5), (2, 3)]",26,2,0.0002124309539794922,2,1.0,2.0
5,0.25,6,Chaurasia Greedy Heuristics,"[(1, 4), (3, 5)]",13,2,0.00023818016052246094,2,0.0,1.0
5,0.5,7,Exhaustive Search,"[(1, 4), (3, 5)]",13,127,0.005120515823364258,127,NA,NA
5,0.5,7,Minimum Weight Greedy Heuristics,"[(1, 4), (3, 5)]",13,2,9.775161743164062e-05,2,0.0,1.0
5,0.5,7,Maximum Connection Greedy Heuristics,"[(1, 4), (3, 5)]",13,2,0.00021314620971679688,2,0.0,1.0
